[20:40:32][Checkpoint   1][Starter class executed.]
[20:40:38][Checkpoint   2][Executed create method of BotChat]
[20:40:38][Checkpoint   3][Loading: AboutBackground.png]
[20:40:38][Checkpoint   4][Loading: Border.png]
[20:40:38][Checkpoint   5][Loading: Canvas.png]
[20:40:38][Checkpoint   6][Loading: DarkWood.png]
[20:40:38][Checkpoint   7][Loading: Exit.png]
[20:40:38][Checkpoint   8][Loading: ExitOn.png]
[20:40:38][Checkpoint   9][Loading: Help.png]
[20:40:38][Checkpoint  10][Loading: HelpOn.png]
[20:40:38][Checkpoint  11][Loading: Lock.png]
[20:40:38][Checkpoint  12][Loading: MenuBar.png]
[20:40:38][Checkpoint  13][Loading: MessageBackground.png]
[20:40:38][Checkpoint  14][Loading: MessageGrey.png]
[20:40:38][Checkpoint  15][Loading: MessageRed.png]
[20:40:38][Checkpoint  16][Loading: Minimalize.png]
[20:40:38][Checkpoint  17][Loading: MinimalizeOn.png]
[20:40:38][Checkpoint  18][Loading: More.png]
[20:40:38][Checkpoint  19][Loading: MoreHover.png]
[20:40:38][Checkpoint  20][Loading: ScrollBar.png]
[20:40:38][Checkpoint  21][Loading: ScrollBarArrowBot.png]
[20:40:38][Checkpoint  22][Loading: ScrollBarArrowUp.png]
[20:40:38][Checkpoint  23][Loading: ScrollBarLine.png]
[20:40:38][Checkpoint  24][Loading: ScrollBarSwing.png]
[20:40:38][Checkpoint  25][Loading: TextFieldOff.png]
[20:40:38][Checkpoint  26][Loading: TextFieldOn.png]
[20:40:38][Checkpoint  27][Loading: WoodBackground.png]
[20:40:38][Checkpoint  28][Loading: ButtonClick.ogg]
[20:40:38][Checkpoint  29][Loading: ButtonClick2.wav]
[20:40:38][Checkpoint  30][Loading: ButtonHover.ogg]
[20:40:38][Checkpoint  31][Loading: ButtonHover2.ogg]
[20:40:38][Checkpoint  32][Loading: Message.wav]
[20:40:38][Checkpoint  33][Loading: MessageSound.wav]
[20:40:39][Checkpoint  34][All files loaded properly]
[20:40:39][Checkpoint  35][Charsets configured]
[20:40:39][Checkpoint  36][Fonts configured.]
[20:40:39][Checkpoint  37][Name loaded and its value is: Jason]
[20:40:39][Checkpoint  38][Executed initiation method of BotExplorer]
[20:40:39][Checkpoint  39][Path of this file was decoded as /C:/Users/Siata/Documents/Projekty/BotMaker/desktop_maker/Export/TemporaryBot.jar]
[20:40:39][Checkpoint  40][Jar file has been properly read]
[20:40:39][Checkpoint  41][Configuration path: Jason/configuration.xml]
[20:40:40][Checkpoint  42][Bot configuration was read]
[20:40:40][Checkpoint  43][Categories from:----./AIML/]
[20:40:40][Checkpoint  44][Predicates from:----./Predicates/]
[20:40:40][Checkpoint  45][Password from:------00ac329054584c08fb0d1a9eeabd3c84b2647b6514af4af669dfb9b29709921e]
[20:40:40][Checkpoint  46][Properties from:----properties.xml]
[20:40:40][Checkpoint  47][Splitters from:-----splitters.xml]
[20:40:40][Checkpoint  48][Substitutions from:-substitutions.xml]
[20:40:40][Checkpoint  49][AIML file: Default.aiml]
[20:40:40][Checkpoint  50][AIML file: Family.aiml]
[20:40:40][Checkpoint  51][AIML file: Fantasy.aiml]
[20:40:40][Checkpoint  52][AIML file: Movies.aiml]
[20:40:40][Checkpoint  53][Configuration path: Jason/configuration.xml]
[20:40:41][Checkpoint  54][Alicebot properly parsed]
[20:40:41][Checkpoint  55][ChatBot has been created and now it is ready to use]
[20:40:42][Checkpoint  56][ChatBot class has been initialized]
[20:41:14][Checkpoint  57][Saving predicates.]
